source_id,title,status,post_name,source_terms,mapped_terms,source_link,live_url,live_status,excerpt_length,content_length
363,Can Robots Fix the Labor Crisis in Gear Manufacturing?,publish,can-robots-fix-the-labor-crisis-in-gear-manufacturing,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/can-robots-fix-the-labor-crisis-in-gear-manufacturing/,https://www.agma.org/event/can-robots-fix-the-labor-crisis-in-gear-manufacturing/,200,44,4828
400,Blockchain all grown up – Zero trust design explained,publish,blockchain-all-grown-up-zero-trust-design-explained,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/blockchain-all-grown-up-zero-trust-design-explained/,https://www.agma.org/event/blockchain-all-grown-up-zero-trust-design-explained/,200,45,4711
402,Gear Boxes in Electric Drivetrains – Requirements and Solutions,publish,gear-boxes-in-electric-drive-trains-requirements-and-solutions,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/gear-boxes-in-electric-drive-trains-requirements-and-solutions/,https://www.agma.org/event/gear-boxes-in-electric-drive-trains-requirements-and-solutions/,200,42,3931
407,AMEC – A New 3D Printing Option For Gears and More,publish,amec-a-new-3d-printing-option-for-gears-and-more,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/amec-a-new-3d-printing-option-for-gears-and-more/,https://www.agma.org/event/amec-a-new-3d-printing-option-for-gears-and-more/,200,41,4267
665,Accelerating Gear Product Development with 3D-printed Mold Tooling,publish,accelerating-gear-product-development-with-3d-printed-mold-tooling,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/accelerating-gear-product-development-with-3d-printed-mold-tooling/,https://www.agma.org/event/accelerating-gear-product-development-with-3d-printed-mold-tooling/,200,45,4424
676,"AI Steered, Safety Geared:  AI’s Voyage with Gear Manufacturing",publish,ai-steered-safety-geared-ais-voyage-with-gear-manufacturing,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/ai-steered-safety-geared-ais-voyage-with-gear-manufacturing/,https://www.agma.org/event/ai-steered-safety-geared-ais-voyage-with-gear-manufacturing/,200,45,4215
714,Preparing for the EU’s New Carbon Border Tax on Steel and Aluminum,publish,preparing-for-the-eus-new-carbon-border-tax-on-steel-and-aluminum,"on-demand-webinars,trade-on-demand-webinars,webinars","on-demand-webinars,on-demand-trade-webinars,webinars",https://agmastag.wpenginepowered.com/event/preparing-for-the-eus-new-carbon-border-tax-on-steel-and-aluminum/,https://www.agma.org/event/preparing-for-the-eus-new-carbon-border-tax-on-steel-and-aluminum/,200,37,2023
734,What Bearing and Gear Manufacturers Need to Know About the Inflation Reduction Act’s Support for the Electric Vehicle Supply Chain,publish,what-bearing-and-gear-manufacturers-need-to-know-about-the-inflation-reduction-acts-support-for-the-electric-vehicle-supply-chain,"on-demand-webinars,trade-on-demand-webinars,webinars","on-demand-webinars,on-demand-trade-webinars,webinars",https://agmastag.wpenginepowered.com/event/what-bearing-and-gear-manufacturers-need-to-know-about-the-inflation-reduction-acts-support-for-the-electric-vehicle-supply-chain/,https://www.agma.org/event/what-bearing-and-gear-manufacturers-need-to-know-about-the-inflation-reduction-acts-support-for-the-electric-vehicle-supply-chain/,200,34,1871
737,Vision AI: A New Era of Workplace Safety in Manufacturing,publish,vision-ai-a-new-era-of-workplace-safety-in-manufacturing,"emerging-technology-on-demand-webinars,on-demand-webinars,webinars","on-demand-emerging-technology-webinars,on-demand-webinars,webinars",https://agmastag.wpenginepowered.com/event/vision-ai-a-new-era-of-workplace-safety-in-manufacturing/,https://www.agma.org/event/vision-ai-a-new-era-of-workplace-safety-in-manufacturing/,200,40,3640
739,U.S. Defense Policy Update,publish,u-s-defense-policy-update,"on-demand-webinars,trade-on-demand-webinars,webinars","on-demand-webinars,on-demand-trade-webinars,webinars",https://agmastag.wpenginepowered.com/event/u-s-defense-policy-update/,https://www.agma.org/event/u-s-defense-policy-update/,200,33,1711
